,City ID,City Name,Cloudiness,Wind Speed,Country,Temperature,Feels Like,Min Temp,Max Temp,Barometric Pressure,Humidity,Sea Level,Ground Level,Latitude,Longitude
159,3685702,Cravo Norte,100.0,19.0,CO,76.59,82.15,76.59,76.59,1010.0,85.0,1010.0,998.0,0.4881697756296006,-167.72455451581905
160,5793822,Enumclaw,100.0,5.99,US,45.54,42.69,45.0,46.99,1002.0,89.0,,,-3.802535952785263,-2.836072200043418
161,777572,Sørkjosen,0.0,136.0,NO,25.65,17.08,25.65,25.65,1009.0,90.0,1009.0,1009.0,,
162,3421719,Narsaq,24.0,70.0,GL,3.92,16.18,39.2,39.2,1001.0,35.0,,,-68.88800616144772,-71.08289390454084
163,3547867,Manzanillo,28.0,68.0,CU,73.15,74.5,73.15,73.15,1014.0,84.0,1014.0,1011.0,-13.312760134116573,118.64957903384936
164,2157373,Mittagong,69.0,11.99,AU,77.99,85.44,73.99,82.0,1010.0,93.0,,,-18.429781479809208,23.662476602993053
165,2270385,Camacha,75.0,270.0,PT,6.44,53.65,64.4,64.4,1017.0,72.0,,,9.349960010345853,93.57169492938937
166,922741,Likasi,100.0,294.0,CD,60.94,62.8,60.94,60.94,1011.0,95.0,1011.0,869.0,10.294007142868082,76.04578872980028
167,2511180,Santa Cruz de La Palma,0.0,300.0,ES,57.63,52.34,54.0,60.8,1021.0,67.0,,,,
168,3577430,Road Town,0.0,8.01,VG,78.01,84.11,78.01,78.01,1012.0,86.0,,,-65.75054728515772,137.82432195094037
169,2126123,Chokurdakh,100.0,354.0,RU,22.81,-31.95,-22.81,-22.81,1026.0,88.0,1026.0,1020.0,27.9499286530546,142.4357601874786
170,157738,Kigoma,83.0,12.0,TZ,71.89,74.41,71.89,71.89,1011.0,80.0,1011.0,924.0,28.107309763555364,60.89539634556729
171,6089245,Norman Wells,40.0,280.0,CA,2.02,-30.42,-20.2,-20.2,1018.0,75.0,,,67.78985121921178,104.20146187711384
172,3380290,Sinnamary,84.0,71.0,GF,77.72,83.95,77.72,77.72,1011.0,86.0,1011.0,1010.0,-58.480370665244635,84.7118976184517
173,2123814,Leningradskiy,100.0,72.0,RU,15.51,-1.55,15.51,15.51,1017.0,95.0,1017.0,1017.0,-66.62264234241593,63.40280797394715
174,2264557,Ponta do Sol,20.0,330.0,PT,61.48,57.78,60.8,62.01,1017.0,67.0,,,,
175,2108502,Honiara,40.0,340.0,SB,9.14,96.04,91.4,91.4,1005.0,66.0,,,-87.60235374593766,74.32835503144943
176,3437088,Curuguaty,0.0,90.0,PY,75.09,77.67,75.09,75.09,1009.0,68.0,1009.0,985.0,-8.026155972459975,10.205757545335558
177,1505438,Isil'kul',90.0,249.0,RU,8.47,-2.81,8.47,8.47,1035.0,94.0,1035.0,1019.0,,
178,934322,Mahébourg,75.0,100.0,MU,0.77,79.12,77.0,77.0,1015.0,88.0,,,,
179,5097801,Fairview,1.0,0.0,US,30.83,22.42,28.0,33.8,1029.0,78.0,,,56.21236871035231,-36.65064597487597
180,2120591,Tilichiki,97.0,13.0,RU,1.98,-12.08,1.98,1.98,998.0,94.0,998.0,967.0,23.738574133051316,-74.32246350662793
181,2448083,Agadez,1.0,18.0,NE,5.77,48.97,57.7,57.7,1016.0,31.0,1016.0,958.0,69.26528169918464,-20.05734731767012
182,3423146,Ilulissat,77.0,90.0,GL,2.66,11.12,26.6,26.6,1010.0,49.0,,,-18.366065938588704,-121.35047932781794
183,3939168,Huarmey,93.0,164.0,PE,68.29,69.01,68.29,68.29,1015.0,79.0,1015.0,1014.0,38.827768435154525,-135.32824626676404
184,2137773,Vao,2.0,116.0,NC,76.19,71.29,76.19,76.19,1010.0,73.0,1010.0,1004.0,-16.607037502467236,173.15460759075916
185,1640344,Kendari,100.0,267.0,ID,86.43,92.41,86.43,86.43,1009.0,63.0,1009.0,1004.0,76.6240766880521,130.92136904725953
